Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Ultra Face Mask,Drunk Elephant,Blush,Weekly,67.85,1.4,686,30ml,Sensitive,Female,Tube,Retinol,False,Australia
Ultra Lipstick,Laura Mercier,Makeup Remover,Occasional,116.43,4.2,5483,250ml,Dry,Unisex,Bottle,Shea Butter,False,UK
Ultra Serum,Natasha Denona,Highlighter,Daily,90.84,1.6,5039,100ml,Sensitive,Male,Compact,Aloe Vera,True,Italy
Divine Serum,Ilia Beauty,Face Mask,Occasional,55.17,3.2,6202,250ml,Normal,Male,Tube,Glycerin,True,South Korea
Super Foundation,Charlotte Tilbury,Highlighter,Occasional,140.56,1.7,297,100ml,Oily,Female,Compact,Glycerin,False,Germany
Super Eye Shadow,Danessa Myricks,Foundation,Weekly,135.82,3.2,9405,150ml,Sensitive,Female,Compact,Glycerin,True,UK
Super Lip Gloss,Bourjois,Powder,Monthly,148.99,2.5,2423,250ml,Normal,Female,Jar,Hyaluronic Acid,True,Germany
Ultra Cleanser,Bourjois,Lip Gloss,Daily,21.43,4.3,8032,200ml,Sensitive,Male,Bottle,Vitamin C,True,Italy
Magic Highlighter,IT Cosmetics,CC Cream,Occasional,113.09,3.3,2468,200ml,Combination,Unisex,Compact,Vitamin C,True,Germany
Perfect Bronzer,Fenty Beauty,Face Mask,Weekly,133.57,4.4,4127,150ml,Dry,Female,Compact,Hyaluronic Acid,False,Japan
Ultra Moisturizer,Sisley,Powder,Weekly,104.91,4.0,8876,100ml,Combination,Female,Bottle,Retinol,True,UK
Divine CC Cream,Juviaâ€™s Place,Eye Shadow,Daily,101.88,4.7,7196,50ml,Oily,Male,Bottle,Retinol,False,Italy
Ultra Setting Spray,NARS,Concealer,Occasional,34.2,1.9,4799,150ml,Oily,Unisex,Bottle,Vitamin C,False,Australia
Divine Primer,ColourPop,Eyeliner,Occasional,96.0,2.2,3557,150ml,Normal,Male,Spray,Salicylic Acid,True,Germany
Divine Exfoliator,Huda Beauty,Lipstick,Monthly,26.21,4.9,4167,200ml,Sensitive,Unisex,Bottle,Shea Butter,True,USA
Perfect Blush,Tatcha,Setting Spray,Daily,104.06,3.2,2802,250ml,Dry,Unisex,Compact,Shea Butter,False,UK
Perfect Highlighter,Kiehlâ€™s,Cleanser,Occasional,131.95,4.0,4860,150ml,Combination,Female,Stick,Salicylic Acid,False,USA
Super Cleanser,Huda Beauty,Bronzer,Monthly,90.45,1.5,9690,150ml,Sensitive,Unisex,Tube,Salicylic Acid,True,South Korea
Ultra Face Oil,Tarte,Primer,Weekly,65.13,2.9,2612,250ml,Sensitive,Male,Bottle,Hyaluronic Acid,False,Australia
Divine Lip Gloss,Glossier,Face Oil,Occasional,55.14,3.8,9593,150ml,Sensitive,Male,Stick,Salicylic Acid,False,France
Perfect Blush,Make Up For Ever,Contour,Monthly,35.33,3.4,4230,150ml,Normal,Unisex,Jar,Salicylic Acid,False,South Korea
Divine Foundation,Anastasia Beverly Hills,Mascara,Daily,145.37,2.3,6045,50ml,Combination,Male,Jar,Retinol,True,France
Divine Cleanser,Fenty Beauty,Face Mask,Monthly,119.26,4.6,9425,100ml,Sensitive,Male,Compact,Hyaluronic Acid,False,Japan
Perfect Eyeliner,E.l.f.,Makeup Remover,Occasional,148.69,3.7,59,150ml,Combination,Unisex,Jar,Retinol,True,Australia
Super Serum,Hourglass,Foundation,Weekly,96.3,3.2,7512,250ml,Normal,Male,Jar,Shea Butter,True,Australia
Divine Setting Spray,Pat McGrath Labs,Highlighter,Daily,105.54,4.9,1098,150ml,Dry,Female,Spray,Glycerin,False,Japan
